city,lat,long,max_temp,humidity,cloudiness,wind_speed,country,date
deputatskiy,69.3,139.9,58.71,52,100,4.68,RU,1627267054
vallenar,-28.5708,-70.7581,52.48,59,0,2.08,CL,1627267380
phan thiet,10.9333,108.1,87.33,61,35,14.92,VN,1627266900
bilma,18.6853,12.9164,88.21,45,99,11.07,NE,1627266935
wolmirstedt,52.25,11.6333,66.25,85,81,4.18,DE,1627267380
north bend,43.4065,-124.2243,63.91,90,90,27.63,US,1627267381
abu samrah,35.3029,37.1841,77.18,59,0,4.47,SY,1627266909
katsuura,35.1333,140.3,86.18,61,72,19.75,JP,1627267381
iqaluit,63.7506,-68.5145,47.93,87,75,5.01,CA,1627267381
puerto rico,-26.796,-55.024,67.32,64,99,3.44,AR,1627267381
necochea,-38.5473,-58.7368,44.01,87,4,9.64,AR,1627266971
puchezh,56.9788,43.1676,61.41,57,79,4.52,RU,1627267382
saintes,45.6667,-0.75,64.09,87,37,5.84,FR,1627267382
lodwar,3.1191,35.5973,74.68,54,100,11.72,KE,1627267382
rokytne,51.2796,27.214,61.79,79,19,6.04,UA,1627267382
podgornoye,51.735,39.1496,55.62,82,0,0.0,RU,1627267383
norman wells,65.282,-126.8329,68.04,64,75,14.97,CA,1627266877
longyearbyen,78.2186,15.6401,44.44,81,75,6.91,SJ,1627266974
grand gaube,-20.0064,57.6608,70.2,57,0,15.41,MU,1627267383
ixtapa,20.7,-105.2,85.23,79,75,0.0,MX,1627266954
coihaique,-45.5752,-72.0662,30.15,86,0,3.44,CL,1627266941
urusha,54.05,122.9,70.72,75,63,6.58,RU,1627267383
rio grande,-32.035,-52.0986,62.55,82,23,7.2,BR,1627267383
craigieburn,-37.6,144.95,59.76,73,75,18.41,AU,1627267384
broome,42.2506,-75.833,71.02,80,0,2.06,US,1627267384
arman,59.7,150.1667,54.61,99,100,7.43,RU,1627267384
lipin bor,60.2622,37.9763,60.26,75,100,9.26,RU,1627267384
sakaiminato,35.55,133.2333,87.78,55,20,8.05,JP,1627267186
victoria,22.2855,114.1577,90.97,81,59,1.99,HK,1627266654
panaba,21.2833,-88.2667,76.46,91,79,2.44,MX,1627267385
port said,31.2565,32.2841,76.98,83,20,9.22,EG,1627267385
harper,4.375,-7.7169,75.63,77,58,7.38,LR,1627267057
la palma,33.8464,-118.0467,83.03,73,1,5.01,US,1627267055
vardo,70.3705,31.1107,44.8,75,63,21.99,NO,1627266977
giresun,40.5,38.5,47.52,91,56,3.15,TR,1627267385
keningau,5.3378,116.1602,84.65,54,47,2.93,MY,1627267386
plettenberg bay,-34.0527,23.3716,62.56,38,77,11.63,ZA,1627267386
esperance,-33.8667,121.9,58.84,67,2,22.73,AU,1627266907
omboue,-1.5746,9.2618,73.0,83,96,1.01,GA,1627267023
xichang,27.8964,102.2634,76.62,69,26,2.28,CN,1627266906
dangriga,16.9692,-88.2321,82.98,75,6,4.07,BZ,1627267386
bonthe,7.5264,-12.505,75.56,87,99,4.92,SL,1627266885
port lincoln,-34.7333,135.8667,60.49,66,55,20.54,AU,1627266929
verkhnevilyuysk,63.4453,120.3167,85.46,39,1,8.16,RU,1627267044
tamandare,-8.7597,-35.1047,73.63,88,40,9.57,BR,1627267387
el alto,-4.2714,-81.2147,64.26,88,87,12.64,PE,1627267387
ashford,51.1459,0.8728,64.09,97,72,6.71,GB,1627267387
luderitz,-26.6481,15.1594,65.08,29,74,11.77,NA,1627266906
pisco,-13.7,-76.2167,62.65,77,1,6.91,PE,1627266879
san quintin,30.4833,-115.95,67.24,86,100,8.16,MX,1627266947
buraydah,26.326,43.975,88.25,20,20,5.39,SA,1627267330
savignano sul rubicone,44.0953,12.4086,83.98,51,0,2.3,IT,1627267387
bud,39.447,-86.1758,78.91,89,65,4.38,US,1627267000
zelenoborskiy,66.845,32.3622,49.87,80,84,7.85,RU,1627267388
bereda,43.2686,-7.5406,60.01,99,33,1.54,ES,1627267029
palmer,42.1584,-72.3287,73.02,84,75,1.01,US,1627267011
abonnema,4.7084,6.7931,72.37,83,71,4.52,NG,1627267388
parana,-31.732,-60.5238,53.56,88,0,6.62,AR,1627267388
cherskiy,68.75,161.3,55.26,45,0,15.88,RU,1627266877
gualeguay,-33.1416,-59.3097,54.14,88,58,8.48,AR,1627267388
yatsuo,36.5667,137.1333,89.53,56,40,9.22,JP,1627267389
locri,38.2414,16.2623,81.32,52,2,1.14,IT,1627267389
sharan,54.8167,54.0,57.65,52,5,3.29,RU,1627267389
biltine,14.5333,20.9167,75.78,73,100,10.47,TD,1627267065
melission,40.7742,22.3442,76.39,68,1,2.35,GR,1627267389
vilyuysk,63.7553,121.6247,86.85,37,0,8.79,RU,1627267389
mastic beach,40.7668,-72.8521,75.97,91,1,1.01,US,1627267390
arlit,18.7369,7.3853,93.81,20,100,8.81,NE,1627267390
clyde river,70.4692,-68.5914,34.03,100,90,4.61,CA,1627266887
san policarpo,12.1791,125.5072,90.64,55,100,11.83,PH,1627266925
urucara,-2.5364,-57.76,75.24,65,30,3.2,BR,1627267077
saint-augustin,51.226,-58.6502,58.03,70,52,6.91,CA,1627266914
creel,27.75,-107.6333,55.35,90,100,1.63,MX,1627267390
boca do acre,-8.7522,-67.3978,79.48,56,87,2.42,BR,1627267390
ransang,8.9603,117.5828,88.27,65,97,13.65,PH,1627267391
januaria,-15.4833,-44.3667,62.85,47,7,3.96,BR,1627267391
san ramon,37.7799,-121.978,84.27,54,1,13.8,US,1627267164
abnub,27.2696,31.1511,77.22,57,0,7.67,EG,1627267391
lompoc,34.6391,-120.4579,70.7,81,90,10.36,US,1627266938
kruisfontein,-34.0033,24.7314,56.88,34,100,12.01,ZA,1627266903
guaxupe,-21.3053,-46.7128,54.39,57,0,5.28,BR,1627267391
oktyabrskiy,54.4815,53.471,58.91,48,2,2.44,RU,1627267017
strezhevoy,60.7333,77.5889,57.18,97,100,8.19,RU,1627267392
mitchell,43.7094,-98.0298,80.58,55,1,1.99,US,1627267392
topeka,39.0483,-95.678,79.23,85,1,4.61,US,1627267261
westport,41.1415,-73.3579,77.25,93,90,5.75,US,1627266956
jacareacanga,-6.2222,-57.7528,74.46,53,12,1.52,BR,1627267392
narasannapeta,18.4167,84.05,88.5,60,97,7.49,IN,1627267392
gat,31.61,34.7642,79.48,84,27,3.49,IL,1627267262
dandong,40.1292,124.3947,86.65,64,100,6.17,CN,1627267393
ilhabela,-23.7781,-45.3581,66.63,52,0,3.56,BR,1627267393
hami,42.8,93.45,92.46,14,4,4.99,CN,1627266975
margate,51.3813,1.3862,64.31,93,93,3.0,GB,1627266928
dayong,25.0209,118.2898,92.88,51,79,7.02,CN,1627267393
barcelos,41.5388,-8.6151,64.92,93,3,3.02,PT,1627267393
narsaq,60.9167,-46.05,46.62,62,100,1.79,GL,1627267394
storslett,69.7678,21.0247,54.18,99,100,3.22,NO,1627267394
marsaxlokk,35.8419,14.5431,79.09,88,0,6.91,MT,1627267394
am timan,11.0297,20.2827,71.17,89,100,5.44,TD,1627267394
the valley,18.217,-63.0578,82.26,83,74,19.69,AI,1627267014
marawi,7.9986,124.2928,83.64,51,69,5.3,PH,1627266912
lakhnau,26.85,80.9167,84.18,89,75,6.91,IN,1627267226
inirida,3.8653,-67.9239,72.5,98,100,2.1,CO,1627267395
sitka,57.0531,-135.33,53.73,91,100,1.23,US,1627266893
inta,66.0317,60.1659,45.59,89,98,6.98,RU,1627267395
jamestown,42.097,-79.2353,71.24,82,1,1.99,US,1627266883
sinjar,36.3209,41.8754,88.83,23,0,8.1,IQ,1627267395
at-bashi,41.1702,75.8106,73.74,23,0,1.07,KG,1627267395
iranshahr,27.2025,60.6848,86.34,48,11,0.0,IR,1627267396
serenje,-13.2325,30.2352,45.12,81,1,10.65,ZM,1627267396
jiaocheng,24.6774,116.1389,94.24,48,72,3.27,CN,1627267396
yar-sale,66.8333,70.8333,54.05,63,74,5.86,RU,1627267049
koygorodok,60.445,50.9968,52.16,85,100,5.68,RU,1627267396
jieshi,22.8134,115.8257,89.94,72,80,9.66,CN,1627267397
butembo,0.15,29.2833,58.37,85,92,3.33,CD,1627267397
yanam,16.7333,82.2167,82.8,69,100,10.4,IN,1627267397
pinheiro machado,-31.5783,-53.3811,61.05,86,72,4.99,BR,1627267397
canutama,-6.5339,-64.3831,76.86,52,63,2.55,BR,1627267397
copiapo,-27.3667,-70.3333,51.49,72,0,1.25,CL,1627267398
half moon bay,37.4636,-122.4286,79.75,76,20,1.01,US,1627267368
mattru,7.6244,-11.8332,72.46,95,98,1.45,SL,1627267398
carnduff,49.1667,-101.8009,69.39,36,2,9.55,CA,1627267398
mazyr,52.0495,29.2456,61.92,81,70,5.12,BY,1627267398
colares,38.7992,-9.4469,69.44,80,43,10.0,PT,1627267399
bambanglipuro,-7.95,110.2833,82.36,58,19,2.91,ID,1627267399
karpathos,35.507,27.2132,75.58,85,1,14.32,GR,1627267018
katangli,51.7102,143.2326,85.06,56,94,11.36,RU,1627266943
batalha,-9.6778,-37.1247,67.1,98,54,2.37,BR,1627267399
buala,-8.145,159.5921,83.8,74,25,7.65,SB,1627267031
mount pleasant,32.7941,-79.8626,82.0,86,20,4.0,US,1627267106
bodden town,19.2833,-81.25,84.2,82,20,2.3,KY,1627266966
cartagena del chaira,1.3349,-74.8429,70.65,97,100,0.38,CO,1627267399
byron bay,-28.65,153.6167,70.05,34,45,3.62,AU,1627266980
hasaki,35.7333,140.8333,82.8,66,99,20.47,JP,1627267400
kalasin,16.5,103.5,85.05,99,100,15.48,TH,1627267400
mananjary,-21.2167,48.3333,63.36,78,100,7.92,MG,1627267400
mega,4.05,38.3,50.63,74,69,13.69,ET,1627267400
arica,-18.475,-70.3042,61.03,77,90,3.44,CL,1627267172
akdepe,42.0551,59.3788,82.49,35,0,14.45,TM,1627267401
fuerte olimpo,-21.0415,-57.8738,76.06,38,1,5.75,PY,1627267401
farmington,36.7281,-108.2187,81.28,40,1,8.05,US,1627267129
corpus christi,27.8006,-97.3964,84.24,83,20,4.0,US,1627267401
uglegorsk,49.0833,142.0333,75.7,74,95,13.67,RU,1627267402
kasempa,-13.4584,25.8338,48.52,66,17,9.15,ZM,1627267402
otradnoye,59.7775,30.8181,63.97,65,63,3.53,RU,1627267402
buluang,13.3068,123.3425,85.28,79,100,14.9,PH,1627267402
vung tau,10.346,107.0843,84.83,72,44,15.28,VN,1627267402
betafo,-19.8333,46.85,49.87,90,99,6.24,MG,1627267403
susuman,62.7833,148.1667,51.96,84,100,5.7,RU,1627267403
faanui,-16.4833,-151.75,78.08,68,38,7.87,PF,1627266919
somanda,-3.3667,33.95,59.72,60,45,9.53,TZ,1627267403
baykit,61.67,96.37,84.0,40,62,6.29,RU,1627266735
cockburn town,21.4612,-71.1419,82.38,83,85,17.43,TC,1627267244
tombouctou,20.0,-3.0,92.39,29,73,10.54,ML,1627267050
grand-santi,4.25,-54.3833,72.28,99,100,2.42,GF,1627267403
cartagena,10.3997,-75.5144,82.02,78,75,3.44,CO,1627267213
kyshtovka,56.555,76.6271,57.36,96,100,12.75,RU,1627267404
talaja,21.35,72.05,79.56,84,100,10.74,IN,1627267404
dwarka,22.2394,68.9678,81.36,85,100,24.52,IN,1627266908
taunggyi,20.7833,97.0333,64.26,96,100,3.71,MM,1627267404
sao joao da barra,-21.6403,-41.0511,69.24,76,0,14.81,BR,1627266896
soe,-9.8607,124.284,83.48,28,47,7.25,ID,1627267405
bajil,15.0584,43.2851,80.91,76,100,3.8,YE,1627267405
lisakovsk,52.5369,62.4936,62.19,60,0,7.0,KZ,1627267405
mandalgovi,45.7625,106.2708,65.66,59,100,9.37,MN,1627267405
yenagoa,4.9247,6.2642,71.19,87,81,4.16,NG,1627267066
angoche,-16.2325,39.9086,71.29,60,90,15.01,MZ,1627267405
vanavara,60.34,102.2797,81.48,36,71,6.11,RU,1627266962
dnipryany,46.7463,33.2729,66.25,62,2,7.09,UA,1627267406
san cristobal,7.7669,-72.225,69.98,99,98,2.46,VE,1627266916
haines junction,60.7522,-137.5108,62.55,48,100,11.5,CA,1627266955
puyang,29.4603,119.8861,76.41,96,100,15.79,CN,1627267406
namibe,-15.1961,12.1522,69.22,59,0,8.08,AO,1627266892
terrace,54.5163,-128.6035,64.31,72,75,11.5,CA,1627267406
castelnaudary,43.3183,1.9545,67.96,80,95,1.99,FR,1627267406
mao,39.8885,4.2658,72.16,78,0,9.22,ES,1627267407
erdenet,49.0333,104.0833,65.95,59,86,5.57,MN,1627267407
bandung,-6.9039,107.6186,77.11,57,3,1.99,ID,1627267114
fairlie,55.756,-4.8556,58.39,80,100,0.85,GB,1627267407
lata,40.1629,-8.3327,67.05,95,95,2.84,PT,1627267043
touros,-5.1989,-35.4608,74.3,90,3,9.48,BR,1627267001
sinnamary,5.3833,-52.95,77.2,87,100,6.08,GF,1627266899
jodiya,22.6925,70.306,80.51,89,100,22.32,IN,1627267408
sandpoint,48.2766,-116.5533,92.16,18,1,5.75,US,1627267408
eyl,7.9803,49.8164,78.75,61,95,23.26,SO,1627266933
belyy yar,53.6039,91.3903,71.49,78,0,6.71,RU,1627267076
kahului,20.8947,-156.47,84.97,80,40,26.46,US,1627266823
vokhtoga,58.8147,41.0461,59.83,69,90,5.91,RU,1627267408
tiksi,71.6872,128.8694,57.07,75,83,12.1,RU,1627267408
nikolsk,53.7189,46.0712,59.72,64,56,2.24,RU,1627267408
tabou,4.423,-7.3528,76.17,75,51,7.76,CI,1627267409
evensk,61.95,159.2333,49.57,99,100,8.59,RU,1627267009
jining,35.405,116.5814,88.72,57,87,8.5,CN,1627267409
miram shah,33.0086,70.0697,91.4,39,1,2.53,PK,1627267409
wajima,37.4,136.9,86.68,65,40,2.3,JP,1627267409
la asuncion,11.0333,-63.8628,78.24,84,93,9.73,VE,1627267410
villarrica,-25.75,-56.4333,73.02,48,100,4.21,PY,1627267410
nang rong,14.6377,102.7914,82.81,74,100,17.49,TH,1627267410
roswell,34.0232,-84.3616,79.72,88,75,3.44,US,1627267239
chokwe,-24.5333,32.9833,54.14,91,4,5.01,MZ,1627267004
englewood,39.6478,-104.9878,76.05,60,75,14.97,US,1627267182
galveston,29.3669,-94.9669,88.18,83,1,1.01,US,1627267153
loa janan,-0.583,117.095,88.43,54,4,4.18,ID,1627267410
tiruttani,13.177,79.6128,84.99,54,100,14.54,IN,1627267411
dingle,10.9995,122.6711,87.71,65,97,16.42,PH,1627267010
baiyin,36.5583,104.2081,65.28,51,100,18.07,CN,1627267411
jumla,29.2747,82.1838,67.24,92,100,2.91,NP,1627266900
rodrigues alves,-7.738,-72.6509,73.72,74,13,1.97,BR,1627267411
ilulissat,69.2167,-51.1,50.02,43,100,11.5,GL,1627266943
petatlan,17.5167,-101.2667,78.71,92,77,3.22,MX,1627267411
dhidhdhoo,6.8833,73.1,82.38,76,91,16.8,MV,1627267412
kizukuri,40.8061,140.3861,86.85,57,0,10.8,JP,1627267412
falmouth,50.1544,-5.0711,59.9,100,20,4.61,GB,1627267412
natal,-5.795,-35.2094,74.05,94,40,8.05,BR,1627266933
jiuquan,39.7432,98.5174,86.83,20,10,12.46,CN,1627267412
saint-pierre,-21.3393,55.4781,67.64,67,0,8.05,RE,1627266928
beyneu,45.3167,55.2,84.42,23,23,13.69,KZ,1627267276
jiexiu,37.0244,111.9125,81.09,62,100,4.45,CN,1627266960
puerto madryn,-42.7692,-65.0385,43.07,49,1,15.5,AR,1627266842
hay river,60.8156,-115.7999,60.78,55,20,5.75,CA,1627267004
cairns,-16.9167,145.7667,84.07,55,40,13.8,AU,1627267389
vostok,46.4856,135.8833,92.03,41,77,4.59,RU,1627267069
berdigestyakh,62.0989,126.6992,79.9,39,0,7.61,RU,1627267413
novikovo,51.1537,37.8879,62.1,65,0,3.22,RU,1627267413
solano,38.2333,-121.9511,91.44,42,20,20.71,US,1627267413
contai,21.7786,87.7536,88.09,66,100,7.27,IN,1627267413
esil,51.9556,66.4042,63.27,53,20,12.73,KZ,1627267075
kiruna,67.8557,20.2251,43.72,100,5,6.91,SE,1627266922
chake chake,-5.2459,39.7666,74.34,66,29,14.92,TZ,1627267414
ajaccio,42.0,8.9167,73.38,65,0,6.91,FR,1627267414
khryashchevka,53.8119,49.0916,60.78,49,91,4.27,RU,1627267414
santa isabel,-23.3156,-46.2214,66.65,51,0,2.51,BR,1627267414
ossora,59.2353,163.0719,62.96,84,92,8.23,RU,1627267415
port hawkesbury,45.6169,-61.3485,65.7,72,1,8.05,CA,1627267415
acapulco,16.8634,-99.8901,84.02,79,75,10.36,MX,1627266911
las palmas,28.4204,-14.0131,70.59,68,25,14.97,ES,1627267415
enshi,30.3,109.4833,86.92,63,0,1.43,CN,1627267415
lugoba,-6.45,38.3333,60.62,56,9,3.87,TZ,1627267416
gold coast,-28.0,153.4333,71.35,40,47,1.01,AU,1627267416
pevek,69.7008,170.3133,36.07,88,74,10.96,RU,1627266890
port-gentil,-0.7193,8.7815,75.47,81,100,7.81,GA,1627267028
oranjemund,-28.55,16.4333,64.06,30,100,12.82,NA,1627267074
sydney,-33.8679,151.2073,68.34,51,40,1.01,AU,1627266957
can tho,10.0333,105.7833,82.38,83,40,6.91,VN,1627267416
nanortalik,60.1432,-45.2371,44.37,75,94,10.18,GL,1627267416
trincomalee,8.5711,81.2335,83.03,72,100,22.73,LK,1627267417
creston,41.0586,-94.3614,72.68,100,1,0.0,US,1627267380
taganak,6.0833,118.3,87.94,72,55,2.68,PH,1627267417
payo,-3.7508,103.6372,84.18,47,3,4.14,ID,1627267417
wamba,8.9333,8.6,70.54,96,99,1.86,NG,1627267417
smithers,54.7804,-127.1743,61.12,72,40,5.75,CA,1627267418
adelaide,-34.9333,138.6,63.41,65,75,3.0,AU,1627267418
kungurtug,50.5994,97.5228,71.76,51,80,2.53,RU,1627267418
constitucion,-35.3333,-72.4167,50.85,93,100,10.29,CL,1627266945
gizo,-8.103,156.8419,83.48,71,7,2.98,SB,1627267418
senica,48.6792,17.367,67.51,95,60,3.53,SK,1627267419
tarauaca,-8.1614,-70.7656,78.1,71,96,2.08,BR,1627267419
sioux lookout,50.1001,-91.917,70.18,63,75,3.44,CA,1627266938
hervey bay,-25.2986,152.8535,68.11,38,18,6.89,AU,1627266966
talcahuano,-36.7167,-73.1167,47.88,93,40,11.5,CL,1627267215
kloulklubed,7.0419,134.2556,81.1,78,100,18.01,PW,1627267419
bermejo,-32.8833,-68.8,48.11,53,0,4.61,AR,1627267419
chihuahua,28.5,-106.0,76.03,45,97,6.64,MX,1627267420
san andres,12.5847,-81.7006,82.42,83,75,11.5,CO,1627267054
baoding,38.8511,115.4903,86.67,64,83,4.79,CN,1627267420
opuwo,-18.0607,13.84,55.54,48,0,8.81,NA,1627267420
kolding,55.4904,9.4722,66.47,94,72,8.05,DK,1627267420
oiba,6.2639,-73.2988,60.69,99,100,2.26,CO,1627267421
vila,42.0304,-8.1588,54.73,91,1,3.67,PT,1627267027
bosaso,11.2842,49.1816,86.18,43,90,23.02,SO,1627267211
road town,18.4167,-64.6167,79.2,82,93,18.54,VG,1627266804
grimshaw,56.1834,-117.6027,71.22,35,20,11.5,CA,1627267421
ibra,22.6906,58.5334,86.59,51,91,6.82,OM,1627267421
williams lake,52.1415,-122.1445,65.77,58,75,3.44,CA,1627267335
falakata,26.5208,89.2055,85.41,79,100,5.12,IN,1627267421
dunedin,-45.8742,170.5036,51.8,71,100,17.0,NZ,1627266749
bairiki,1.3292,172.9752,87.8,70,40,11.5,KI,1627267081
san clemente,33.427,-117.612,79.56,83,57,1.01,US,1627267422
takoradi,4.8845,-1.7554,73.9,81,93,9.1,GH,1627266796
malakal,9.5334,31.6605,67.73,96,100,5.88,SS,1627267422
shinpokh,34.3292,71.1782,87.21,52,2,4.85,PK,1627267422
sandwick,60.0,-1.25,55.22,100,75,12.66,GB,1627267422
rawson,-43.3002,-65.1023,42.06,51,2,13.02,AR,1627266895
kalianget,-7.05,113.9333,83.57,62,2,11.95,ID,1627267423
nanfeng,23.7434,111.7959,93.31,57,53,1.95,CN,1627267423
severo-yeniseyskiy,60.3725,93.0408,79.54,38,46,8.99,RU,1627267423
sangar,63.9242,127.4739,80.74,38,6,11.88,RU,1627266930
alvaro obregon,19.3733,-99.225,61.97,63,75,3.0,MX,1627267213
yashkul,46.1711,45.3435,80.19,38,21,5.37,RU,1627267423
saint-francois,46.4154,3.9054,65.17,89,0,3.44,FR,1627267039
pitimbu,-7.4706,-34.8086,72.19,83,54,13.67,BR,1627267424
mayo,38.8876,-76.5119,84.2,84,1,4.61,US,1627266614
anori,-3.7728,-61.6442,75.69,72,95,3.04,BR,1627267424
mingyue,43.1069,128.9217,90.14,50,37,3.22,CN,1627267424
khilok,51.3674,110.4676,66.94,57,91,5.88,RU,1627267424
dalbandin,28.8947,64.4101,97.18,10,2,3.85,PK,1627267082
moranbah,-22.0016,148.0466,72.59,22,9,11.39,AU,1627267425
